ACTUAL ;Jugador;Posición;G;NUEVO;PAIS;MI ACTUAL 
1441944538.png;Declan Rice;Mediocampista;.png;Declan Rice.png;England;1441944538
1441944419.png;Mason Mount;Mediocampista;.png;Mason Mount.png;England;1441944419
1441945358.png;Kalvin Phillips;Mediocampista;.png;Kalvin Phillips.png;England;1441945358
1441945307.png;Jude Bellingham;Mediocampista;.png;Jude Bellingham.png;England;1441945307
1441944466.png;Conor Gallagher;Mediocampista;.png;Conor Gallagher.png;England;1441944466
1441945397.png;James Maddison;Delantero;.png;James Maddison.png;England;1441945397
1441945587.png;Jack Grealish;Delantero;.png;Jack Grealish.png;England;1441945587
1441945638.png;Phil Foden;Delantero;.png;Phil Foden.png;England;1441945638
1441945685.png;Harry Kane;Delantero;.png;Harry Kane.png;England;1441945685
1441945548.png;Raheem Sterling;Delantero;.png;Raheem Sterling.png;England;1441945548
1441944517.png;Marcus Rashford;Delantero;.png;Marcus Rashford.png;England;1441944517
1441944591.png;Bukayo Saka;Delantero;.png;Bukayo Saka.png;England;1441944591
1441945638 (1).png;Callum Wilson;Delantero;.png;Callum Wilson.png;England;1441945638 (1)
1441943999.png;DT Gareth Southgate;DT;.png;DT Gareth Southgate.png;England;1441943999
Morocco-Portraits-FIFA-World-Cup-Qatar-2022.png;Yassine Bono;Portero;.png;Yassine Bono.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (1).png;Munir;Portero;.png;Munir.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (1)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (2).png;Ahmed Reda Tagnaouti;Portero;.png;Ahmed Reda Tagnaouti.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (2)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (3).png;Achraf Hakimi;Defensor;.png;Achraf Hakimi.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (3)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (4).png;Noussair Mazraoui;Defensor;.png;Noussair Mazraoui.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (4)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (6).png;Romain Saiss;Defensor;.png;Romain Saiss.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (6)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (5).png;Nayef Aguerd ;Defensor;.png;Nayef Aguerd .png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (5)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (8).png;Achraf Dari;Defensor;.png;Achraf Dari.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (8)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (7).png;Jawad El-Yamiq;Defensor;.png;Jawad El-Yamiq.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (7)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (10).png;Yahia Attiat-Allal;Defensor;.png;Yahia Attiat-Allal.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (10)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (9).png;Badr Benoun;Defensor;.png;Badr Benoun.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (9)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (11).png;Sofyan Amrabat;Mediocampista;.png;Sofyan Amrabat.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (11)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (16).png;Selim Amallah;Mediocampista;.png;Selim Amallah.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (16)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (21).png;Abdelhamid Sabiri;Mediocampista;.png;Abdelhamid Sabiri.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (21)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (13).png;Azzedine Ounahi;Mediocampista;.png;Azzedine Ounahi.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (13)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (18).png;Bilel El Khanouss;Mediocampista;.png;Bilel El Khanouss.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (18)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (19).png;Yahya Jabrane;Mediocampista;.png;Yahya Jabrane.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (19)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (12).png;Haim Ziyech;Delantero;.png;Haim Ziyech.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (12)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (23).png;Youssef En-Nesyri;Delantero;.png;Youssef En-Nesyri.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (23)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (17).png;Sofiane Boufal;Delantero;.png;Sofiane Boufal.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (17)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (15).png;Zakaria Aboukhlal;Delantero;.png;Zakaria Aboukhlal.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (15)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (22).png;Ez Abdé;Delantero;.png;Ez Abdé.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (22)
1442764041.png;Anass Zaroury;Delantero;.png;Anass Zaroury.png;Morocco;1442764041
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (14).png;Ilias Chair;Delantero;.png;Ilias Chair.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (14)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (20).png;Abderrazak Hamdallah;Delantero;.png;Abderrazak Hamdallah.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (20)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (24).png;Walid Cheddira ;Delantero;.png;Walid Cheddira .png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (24)
Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (25).png;DT Hoalid Regragui;DT;.png;DT Hoalid Regragui.png;Morocco;Morocco-Portraits-FIFA-World-Cup-Qatar-2022 (25)
1442476218.png;Nawaf Al-Aqidi;Portero;.png;Nawaf Al-Aqidi.png;Saudi_Arabia;1442476218.png
1442476202.png;Mohammed Al-Owais;Portero;.png;Mohammed Al-Owais.png;Saudi_Arabia;1442476202
1442476147.png;Mohammed Al Rubaei;Portero;.png;Mohammed Al Rubaei.png;Saudi_Arabia;1442476147
1442476218.png;Nawaf Al-Aqidi;Portero;.png;Nawaf Al-Aqidi.png;Saudi_Arabia;1442476218
1442482644.png;Yasser Al-Shahrani;Defensor;.png;Yasser Al-Shahrani.png;Saudi_Arabia;1442482644
1442482349.png;Mohammed Al-Breik;Defensor;.png;Mohammed Al-Breik.png;Saudi_Arabia;1442482349
1442483955.png;Ali Al-Bulaihi;Defensor;.png;Ali Al-Bulaihi.png;Saudi_Arabia;1442483955
1442483111.png;Sultan Al-Ghanam;Defensor;.png;Sultan Al-Ghanam.png;Saudi_Arabia;1442483111
1442480785.png;Saud Abdulhamid;Defensor;.png;Saud Abdulhamid.png;Saudi_Arabia;1442480785
1442482940.png;Abdulelah Al-Amri;Defensor;.png;Abdulelah Al-Amri.png;Saudi_Arabia;1442482940
1442480765.png;Hassan Tambakti;Defensor;.png;Hassan Tambakti.png;Saudi_Arabia;1442480765
1442477144.png;Abdullah Madu;Defensor;.png;Abdullah Madu.png;Saudi_Arabia;1442477144
1442476890.png;Salem Al-Dawsari;Mediocampista;.png;Salem Al-Dawsari.png;Saudi_Arabia;1442476890
1442483914.png;Salman Al-Faraj;Mediocampista;.png;Salman Al-Faraj.png;Saudi_Arabia;1442483914
1442482992.png;Abdullah Otayf;Mediocampista;.png;Abdullah Otayf.png;Saudi_Arabia;1442482992
1442483861.png;Hattan Bahebri;Mediocampista;.png;Hattan Bahebri.png;Saudi_Arabia;1442483861
1442482688.png;Mohamed Kanno;Mediocampista;.png;Mohamed Kanno.png;Saudi_Arabia;1442482688
1442483822.png;Abdulellah Al-Malki;Mediocampista;.png;Abdulellah Al-Malki.png;Saudi_Arabia;1442483822
1442480515.png;Sami Al-Najei;Mediocampista;.png;Sami Al-Najei.png;Saudi_Arabia;1442480515
1442480030.png;Ali Al-Hassan;Mediocampista;.png;Ali Al-Hassan.png;Saudi_Arabia;1442480030
1442480681.png;Nasser Al-Dawsari;Mediocampista;.png;Nasser Al-Dawsari.png;Saudi_Arabia;1442480681
1442480439.png;Riyadh Sharahili;Mediocampista;.png;Riyadh Sharahili.png;Saudi_Arabia;1442480439
1442477752.png;Abdulrahman Al-Aboud;Mediocampista;.png;Abdulrahman Al-Aboud.png;Saudi_Arabia;1442477752
1442480805.png;Firas Al-Buraikan;Delantero;.png;Firas Al-Buraikan.png;Saudi_Arabia;1442480805
1442480014.png;Nawaf Al-Abed;Delantero;.png;Nawaf Al-Abed.png;Saudi_Arabia;1442480014
1442480114.png;Saleh Al-Shehri;Delantero;.png;Saleh Al-Shehri.png;Saudi_Arabia;1442480114
1442482198.png;Haitham Asiri;Delantero;.png;Haitham Asiri.png;Saudi_Arabia;1442482198
1442475785.png;DT Hervé Renard;DT;.png;DT Hervé Renard.png;Saudi_Arabia;1442475785
x;Emiliano Martínez;Arquero;x;x;Argentina;x
x;Gerónimo Rulli;Arquero;x;x;Argentina;x
x;Franco Armani;Arquero;x;x;Argentina;x
x;Gonzalo Montiel;Defensor;x;x;Argentina;x
x;Nicolás Otamendi;Defensor;x;x;Argentina;x
x;Nahuel Molina ;Defensor;x;x;Argentina;x
x;Cristian Romero;Defensor;x;x;Argentina;x
x;Germán Pezzella;Defensor;x;x;Argentina;x
x;Lisandro Martínez;Defensor;x;x;Argentina;x
x;Marcos Acuña;Defensor;x;x;Argentina;x
x;Nicolás Tagliafico;Defensor;x;x;Argentina;x
x;Juan Foyth;Defensor;x;x;Argentina;x
x;Leandro Paredes;Mediocampista;x;x;Argentina;x
x;Guido Rodriguez;Mediocampista;x;x;Argentina;x
x;Rodrigo De Paul;Mediocampista;x;x;Argentina;x
x;Exequiel Palacios;Mediocampista;x;x;Argentina;x
x;Alexis MacAllister;Mediocampista;x;x;Argentina;x
x;Enzo Fernández;Mediocampista;x;x;Argentina;x
x;Ángel Di María;Mediocampista;x;x;Argentina;x
x;Alejandro Gómez;Mediocampista;x;x;Argentina;x
x;Thiago Almada;Mediocampista;x;x;Argentina;x
x;Ángel Correa;Delantero;x;x;Argentina;x
x;Julián Álvarez;Delantero;x;x;Argentina;x
x;Lautaro Martínez;Delantero;x;x;Argentina;x
x;Lionel Messi;Delantero;x;x;Argentina;x
x;Paulo Dybala;Delantero;x;x;Argentina;x
x;DT Lionel Scaloni;DT;x;x;Argentina;x
x;Alisson ;Arquero;x;x;Brazil;x
x;Éderson ;Arquero;x;x;Brazil;x
x;Weverton;Arquero;x;x;Brazil;x
x;Dani Alves;Defensor;x;x;Brazil;x
x;Danilo;Defensor;x;x;Brazil;x
x;Alex Sandro;Defensor;x;x;Brazil;x
x;Alex Telles;Defensor;x;x;Brazil;x
x;Thiago Silva;Defensor;x;x;Brazil;x
x;Marquinhos;Defensor;x;x;Brazil;x
x;Éder Militao;Defensor;x;x;Brazil;x
x;Bremer;Defensor;x;x;Brazil;x
x;Fabinho;Volante;x;x;Brazil;x
x;Casemiro;Volante;x;x;Brazil;x
x;Fred;Volante;x;x;Brazil;x
x;Bruno Guimaraes;Volante;x;x;Brazil;x
x;Éverton Ribeiro;Volante;x;x;Brazil;x
x;Lucas Paquetá;Volante;x;x;Brazil;x
x;Neymar;Delantero;x;x;Brazil;x
x;Antony;Delantero;x;x;Brazil;x
x;Raphinha;Delantero;x;x;Brazil;x
x;Vinicius Júnior;Delantero;x;x;Brazil;x
x;Richarlison;Delantero;x;x;Brazil;x
x;Gabriel Jesus;Delantero;x;x;Brazil;x
x;Rodrygo;Delantero;x;x;Brazil;x
x;Pedro;Delantero;x;x;Brazil;x
x;Gabriel Martinelli;Delantero;x;x;Brazil;x
x;DT Tite;DT;x;x;Brazil;x
x;Moisés Ramírez;Portero;x;x;Ecuador;x
x;Alexander Domínguez;Portero;x;x;Ecuador;x
x;Hernán Galíndez;Portero;x;x;Ecuador;x
x;Piero Hincapié;Defensor;x;x;Ecuador;x
x;Robert Arboleda;Defensor;x;x;Ecuador;x
x;Pervis Estupiñán;Defensor;x;x;Ecuador;x
x;Angelo Preciado;Defensor;x;x;Ecuador;x
x;Jackson Porozo;Defensor;x;x;Ecuador;x
x;Xavier Arreaga;Defensor;x;x;Ecuador;x
x;Diego Palacios;Defensor;x;x;Ecuador;x
x;Félix Torres;Defensor;x;x;Ecuador;x
x;William Pacho;Defensor;x;x;Ecuador;x
x;Carlos Gruezo;Mediocampista;x;x;Ecuador;x
x;José Cifuentes;Mediocampista;x;x;Ecuador;x
x;Alan Franco;Mediocampista;x;x;Ecuador;x
x;Moisés Caicedo;Mediocampista;x;x;Ecuador;x
x;Ángel Mena;Mediocampista;x;x;Ecuador;x
x;Jeremy Sarmiento;Mediocampista;x;x;Ecuador;x
x;Jhegson Méndez;Mediocampista;x;x;Ecuador;x
x;Ayrton Preciado;Mediocampista;x;x;Ecuador;x
x;Gonzalo Plata;Mediocampista;x;x;Ecuador;x
x;Romario Ibarra;Mediocampista;x;x;Ecuador;x
x;Djorkaeff Reasco;Delantero;x;x;Ecuador;x
x;Kevin Rodríguez;Delantero;x;x;Ecuador;x
x;Michael Estrada;Delantero;x;x;Ecuador;x
x;Enner Valencia;Delantero;x;x;Ecuador;x
x;DT Gustavo Alfaro;DT;x;x;Ecuador;x
x;Eiji Kawashima;Portero;x;x;Japan;x
x;Shuichi Gonda;Portero;x;x;Japan;x
x;Daniel Schmidt;Portero;x;x;Japan;x
x;Yuto Nagatomo;Defensor;x;x;Japan;x
x;Maya Yoshida;Defensor;x;x;Japan;x
x;Hiroki Sakai;Defensor;x;x;Japan;x
x;Shogo Taniguchi;Defensor;x;x;Japan;x
x;Miki Yamane;Defensor;x;x;Japan;x
x;Ko Itakura;Defensor;x;x;Japan;x
x;Hiroki Ito ;Defensor;x;x;Japan;x
x;Takehiro Tomiyasu;Defensor;x;x;Japan;x
x;Gaku Shibasaki;Volante;x;x;Japan;x
x;Wataru Endo ;Volante;x;x;Japan;x
x;Junya Ito;Volante;x;x;Japan;x
x;Ritsu Doan;Volante;x;x;Japan;x
x;Takumi Minamino;Volante;x;x;Japan;x
x;Hidemasa Morita;Volante;x;x;Japan;x
x;Daichi Kamada;Volante;x;x;Japan;x
x;Yuki Soma;Volante;x;x;Japan;x
x;Kaoru Mitoma;Volante;x;x;Japan;x
x;Ao Tanaka;Volante;x;x;Japan;x
x;Takefusa Kubo;Volante;x;x;Japan;x
x;Daizen Maeda;Delantero;x;x;Japan;x
x;Takuma Asano;Delantero;x;x;Japan;x
x;Ayase Ueda;Delantero;x;x;Japan;x
x;Shuto Machino;Delantero;x;x;Japan;x
x;DT Hajime Moriyasu;DT;x;x;Japan;x
x;Kim Seung-gyu;Portero;x;x;Korea Republic;x
x;Jo Hyeon-woo;Portero;x;x;Korea Republic;x
x;Song Bum-keun;Portero;x;x;Korea Republic;x
x;Kim Young-gwon;Defensor;x;x;Korea Republic;x
x;Kim Jin-su;Defensor;x;x;Korea Republic;x
x;Hong Chul;Defensor;x;x;Korea Republic;x
x;Kim Min-jae;Defensor;x;x;Korea Republic;x
x;Kwon Kyung-won;Defensor;x;x;Korea Republic;x
x;Kim Moon-hwan;Defensor;x;x;Korea Republic;x
x;Kim Tae-hwan;Defensor;x;x;Korea Republic;x
x;Cho Yu-min;Defensor;x;x;Korea Republic;x
x;Yoon Jong-gyu;Defensor;x;x;Korea Republic;x
x;Son Heung-min;Mediocampista;x;x;Korea Republic;x
x;Jung Woo-young;Mediocampista;x;x;Korea Republic;x
x;Lee Jae-sung;Mediocampista;x;x;Korea Republic;x
x;Hwang Hee-chan;Mediocampista;x;x;Korea Republic;x
